Company Name,Company URL,Key Features,Services,About
VibeCatch,Write a review,"engagement polls
productivity improvements
engagement polls
job satisfaction polls
continuous improvement 
feedback solution","360 Degree Feedback
Employee Monitoring
HR Management Software",VibeCatch's scientifically proven method gives you actionable insights to improve the bottom line while making your company a better place to work.
Skillrater,www.skillrater.com,,360 Degree Feedback,
Primalogik 360,www.primalogik.com,,360 Degree Feedback,
 CRT - Customer Research Technology,www.crtviewpoint.com,,360 Degree Feedback,
36 Dollar 360,www.36dollar360.com,,360 Degree Feedback,
ActiveView 360,www.surveyconnect.com/a..,,360 Degree Feedback,
Agility CMS,www.agilitycms.com,,360 Degree Feedback,
Agiloft,www.agiloft.com/,,360 Degree Feedback,
Amris,www.intcorp.com/,,360 Degree Feedback,
Businessolver,www.businessolver.com,,360 Degree Feedback,
Captora,www.captora.com/,,360 Degree Feedback,
Cloud South,www.cloudsouth.com/,,360 Degree Feedback,
CMiC,www.cmicglobal.com,,360 Degree Feedback,
Cureo,www.cureo.com/,"file sharing
task management
messaging
publishing platform
group calendars",360 Degree Feedback,"Cureo creates collaborative micro networks that enable non-profit entities, along with their partners in government and business to deploy secure networks that help staff, boards, volunteers, and all partner constituents to work better together, solve problems, and unleash surprising new creativity."
DecisionWise,www.decision-wise.com,"Employee Engagement Surveys
360-degree Feedback
Employee Engagement Online Reporting
DEPOT Online Action Planning Tool
Leadership Development
Employee Value Proposition
Organization Development
Employee Engagement Surveys
360-degree Feedback
Employee Experience Analysis
Employee Value Proposition
Employee EngagementOnline Reporting Tool
Depot Online Action Planner",360 Degree Feedback,
EchoSpan,www.echospan.com,,360 Degree Feedback,
Ekklesia 360,www.ekklesia360.com,,360 Degree Feedback,
Expert Training Systems,www.etsplc.com,,360 Degree Feedback,
FastLeanSmart,www.fastleansmart.com,,360 Degree Feedback,
Faze1,www.faze-1.com,,360 Degree Feedback,
HeavenHR,www.heavenhr.com,,360 Degree Feedback,
LeaderNation,www.leadernation.com,,360 Degree Feedback,
Loopline Systems,www.loopline-systems.com,,360 Degree Feedback,
Macromicro,www.macromicro.com,,360 Degree Feedback,
Next Plane,www.nextplane.net/,,360 Degree Feedback,
NextFort,www.nextfort.com/,,360 Degree Feedback,
Panoramic Feedback,www.panoramicfeedback.com,,360 Degree Feedback,
Que Social,www.quesocial.com/,,360 Degree Feedback,
Simple Salon,www.simplesalon.com,,360 Degree Feedback,
SocialChorus,www.socialchorus.com,,360 Degree Feedback,
TidyMarketer,www.tidymarketer.com,,360 Degree Feedback,
UniPhi,www.uniphi.com.au/,,360 Degree Feedback,
Vertex Inc,www.vertexinc.com,,360 Degree Feedback,
Vision Metrics,www.visionmetrics.net,,360 Degree Feedback,
Zoho Invoice,www.zoho.com/invoice/,,360 Degree Feedback,
FreshBooks,Write a review,"Recurring Billing
Expense Import & Tracking
Invoices & Billing
Time Tracking
Project Time Tracking
Automatic Late Payment Reminders
iPhone App
Android App
Deposits
Partial Payments","Accounting Software
Billing & Invoicing","FreshBooks is an online invoicing and time tracking service that saves you time and makes you look professional - Fortune 500 professional. We believe financial record keeping should be easy, fast, (and perhaps even fun), but still detailed enough to satisfy your accountant. FreshBooks is easy to use and you can try it for free for 30 days (no credit card required)."
Intacct Corporation,Write a review,"Accounts Payable
Accounts Receivable
Expense Tracking
Fund Accounting
General Ledger
Multi-Currency
Project Accounting
Purchasing
Revenue Recognition
Order Management","Accounting Software
Accounts Payable
Accounts Receivable
Billing & Invoicing
Expenses Management
Financial Reporting
Inventory Management
Order Management
Purchasing Software","Intacct is the cloud financial management company. Bringing cloud computing to finance and accounting, Intacct's award-winning applications are the preferred financial applications for AICPA business solutions. Intacct applications are used by more than 10,500 businesses from startups to public companies and are designed to improve company performance and make finance more productive."
Xero,www.xero.com,"Fast bank reconcilication
Unlimited users, for free
Smart reports
Go mobile
Easy invoicing
Pay bills",Accounting Software,"Xero is a global company with offices in the United States, United Kingdom, Australia and New Zealand and customers all over the world. Our mission is to materially improve GDP globally by making small businesses more productive.Xero was founded in July 2006, is one of the top 20 companies on the New Zealand Stock Exchange and is listed on the Australian Securities Exchange. We are a new type of multinational with teams around the world united in our passion to revolutionise small business. As the emerging leader in online accounting software, we connect small businesses to their advisors and a myriad of other connected services. Xero provides business owners with real-time visibility of their financial position in a way thats simple, smart and secure. For advisors such as accountants and bookkeepers, Xero forges a trusted relationship with clients through online collaboration and gives them the opportunity to extend their services. Were thrilled with the impact were making globally. We have so many customers telling us that were removing many aspects of running a business that are hard, boring or frustrating. Were often told weve made accounting fun! That delights us as we love technology and making business better."
Connec,www.connec.me,,Accounting Software,
Talibro LLC,www.talibro.com,,Accounting Software,
FinancialForce.com,www.FinancialForce.com,,Accounting Software,
