Service Name,Service URL,Review Name,Review Date,Review Content
Skillrater,www.skillrater.com,Kamal Ahmed,"Thursday, October 16, 2014",Skillrater (Cloud-based platform) is useful way to keep in touch with colleagues and professional contacts for skill improvement . It's very user-friendly interactive 360-degree feedback and performance appraisal tool. 
Skillrater,www.skillrater.com,Christi O'Neill,"Thursday, October 16, 2014","Getting advice and giving feedback should be easy, quick and always accessible. Skillrater allows for quick virtual connecting, sharing and rating in less than 5 minutes. Between the exportable charts, team groups, discussion threads and mobile accessibility, this tool is fun and brings together global individuals, cohorts, customers and shareholders. It is a simple way to make a global workforce feel closer where learning is sustained over time."
Skillrater,www.skillrater.com,Brian Schwartz,"Thursday, October 16, 2014",Superb feedback and collaboration tool designed to help inspire team members in a social setting.  Easy to give feedback that is tied directly to company goals.
Primalogik 360,www.primalogik.com,Pablo Fernandez,"Thursday, January 30, 2014",This software has been very useful and easy to use to review the performance of my company employees.
FreshBooks,Write a review,Michael Horth,"Monday, March 25, 2013","Accounting isn't my thing, but FreshBooks makes it easy for me to keep on top of things. Their iPad app is really great for when I'm on the job and want to get paid quick."
FreshBooks,Write a review,Melanie,"Friday, March 22, 2013",Invoicing with FreshBooks saves me so much time. It means I never have to make a call to clients who haven't paid - their automated email system reminds my clients for me!
Intacct Corporation,Write a review,Kyle Szigeti,"Monday, June 23, 2014","We have been using Intacct for 1.5 years here at Birch Communications. The integration process was not very complicated. We enjoy all of the features that Intacct provides including the custom report writer, drill down capabilities, multi entity reporting, etc. We used Sage Accpac previously and Intacct has been a significant upgrade for our accounting/reporting."
Intacct Corporation,Write a review,Jenni Reiserer,"Tuesday, June 17, 2014","We were using Peachtree previously and had outgrown that product. Intacct gave us the ability to stop relying on spreadsheets to make our revenue recognition entries. This in turn gave us an annual ROI of around $50k because I was on the verge of having to hire someone to keep up with our growing revenue recognition issues. Since 2009 I have not had to add another employee to my department and I attribute that to the use of Intacct and the improvements they have made to their own product. Total estimated savings is over $250,000.There are so many reasons why I like Intacct. The ease of use for our employees is probably one of my favorites. We are a growing software company and every new employee gets a sign in to Intacct so that they can enter their time sheets and expenses. Most employees need minimal training and some have logged in and gotten started without training.Another of my favorites is the dashboards and how easy it is to put a report on one and to make them look professional. We have dashboards for all department heads and even one that is for the typical employee. Now with the latest enhancements getting the most up to date and important info is even easier. The dashboards make me look good to my boss which is a great plus."
Intacct Corporation,Write a review,Chelsea Parent,"Friday, June 13, 2014","Intacct has been a great company to work with. We are a very tough type of company with very hard financials. Our CEO and CFO have always asked for things that required a lot of manual manipulation, but now that we have Intacct, we are able to create the reports they want and send them out with ease. We are so happy that we've made the switch to Intacct."
Intacct Corporation,Write a review,Kelley,"Thursday, June 12, 2014",INTACCT is great. It's very user friendly and easy to learn. It's pleasant to look at and you can adapt it to your liking by changing colors or menu options.
Intacct Corporation,Write a review,Jennifer Szaro Oehlerts,"Wednesday, June 11, 2014","Intacct had great rev rec schedules.  A significant portion of our revenue is from annual support payments that we recognize over the time period of the annual support.  The Revenue/Accounts Receivable Module makes it easy to record and recognize this revenue automatically rather than having to track it on a spreadsheet and figure out what needs to be recorded monthly.  This is a strong attribute of the software.  Secondarily, being a cloud based solutions has been very helpful when not in the office.Some frustration with the software revolves around the inability to change certain.  For example, once a cash payment has been received, the entry that recorded the invoice cannot be changed.  If you want/need to add a location or department, it can't be done.  Also, the inability to merge accounts and departments to make a more streamlined chart of accounts (especially when you inherited a mess) is frustrating.  There should be more flexibility to make changes.  I know other systems have this flexibility."
Intacct Corporation,Write a review,Emma Roy,"Tuesday, June 10, 2014","A great cloud based accounting system that has integrated perfectly with our other cloud based programs like Concur expense. The transition to Intacct went very smooth, the program is easy to use, and the reporting is comprehensive. Switching to Intacct allowed us to simplify our GL, going from over 3,000 accounts to under 200. The budgeting features in the program are also really good. Would highly recommend this product.  "
Intacct Corporation,Write a review,Sadia Jamil,"Monday, June 9, 2014",A best cloud based accounting software for complicated and time consuming revenue recognition process. Data import option is very helpful and time saving.
Intacct Corporation,Write a review,Cecillia Rivas,"Friday, March 21, 2014",Intacct is a cloud based accounting software that has been easy to learn on the fly. It's great to be able to work away from the office anytime I need to access the software. It is a good choice for any size organization and any industry.
Intacct Corporation,Write a review,Autumn Kelly,"Thursday, March 20, 2014","A solid accounting program with the capability to run custom reports and analyze projects by time/cost/employee. These capabilities are useful for helping our company keep projects within budget and time scope. I should note, however, that any of our employees have difficulties accessing/using the website with Firefox and Chrome browsers."
Intacct Corporation,Write a review,Jennifer Bomba,"Thursday, March 20, 2014",Intacct is an easy and very effective accounting software to use. I use it everyday with my job and what used to take me hours to do now takes me mere minutes. Thanks Intacct!
Intacct Corporation,Write a review,Erika Williams,"Thursday, March 20, 2014","Wonderful accounting program for a small to mid-sized business, especially non-profits. The customization of order entry and integration with Salesforce was critical for our billing department. This functions seamlessly and saves us so much time. I also love that each release seems to add easier functionality to all of our processes."
